"plot","transect","Dist from river","Hand","Inundation duration","X 16N","Y 16N","Shannon","Simpson","EqMaxima","Pielou","Jentsch","BA","plotele","plotsd","FAC","FACW","FACU","OBL","richness"
0,"1",50,1.925166323,0.540369569,427015.4567,3676225.25,1.59,0.7,2.2,0.72,0.24,42.16973582165,60.44459849,0.651212458930776,18.247415118,11.2748564825,0.7553710699,11.89209315125,9
1,"1",100,1.488312674,6.7856155,427067.5443,3676224.921,1.87,0.85,2.08,0.9,0.18,27.7043671718,60.6282778103448,0.505390401697617,21.4233668306,1.6867337233,1.03911001855,3.55515659935,8
2,"1",150,1.320522539,14.76846226,427112.7993,3676194.823,1.63,0.75,2.08,0.78,0.15,34.9737058589,60.2486556328571,0.250044175991144,19.6971299605,12.96906035215,2.30751554625,NA,8
3,"1",200,0.9903863,47.0759883,427172.8952,3676209.623,1.53,0.77,1.79,0.85,0.11,32.4328039487785,60.1100309392308,0.186952894108073,9.3505974278,22.0320812018785,NA,1.0501253191,6
4,"1",250,0.966929898,49.37467429,427234.2127,3676203.924,1.72,0.76,2.3,0.75,0.25,21.61619789655,60.0105393207407,0.261032357645354,10.67939718955,9.61737028135,NA,1.31943042565,10
5,"1",300,1.06097271,39.2371161,427267.9934,3676186.08,1.56,0.78,1.79,0.87,0.17,14.88850812615,60.37670101,0.366902802751173,5.71263615535,8.03775085995,NA,1.13812111085,6
6,"1",350,1.091066292,35.93909395,427316.3588,3676182.368,1.74,0.79,2.08,0.84,0.13,25.4863667691,60.17190187,0.179162868176789,18.9192218389,3.96892673955,0.53848360045,2.0597345902,8
7,"1",400,0.976940718,48.58851444,427373.9652,3676151.558,1.68,0.8,1.95,0.86,0.21,31.9626038166,60.71250031,0.302123656312617,5.73947803715,21.52174485965,0.69117845635,4.01020246345,7
8,"1",450,1.037811811,41.81541025,427420.9806,3676159.481,1.32,0.62,1.95,0.68,0.09,38.46327710555,60.3955330433333,0.19236467104608,26.135383213,9.45961091945,NA,2.8682829731,7
9,"1",500,1.225577625,22.22856345,427415.2425,3676111.482,1.38,0.68,1.95,0.71,0.1,27.1335973456,60.3674169366667,0.299019835995609,26.35303035835,NA,0.41136449985,0.3692024874,7
