AccSpeciesName,TraitID,TraitName,OriglName,OrigValueStr,OrigUncertaintyStr,StdValue,UnitName,ErrorRisk,Reference,Comment
Acer rubrum,603,Species tolerance to shade,Shade tolerance,3.44,0.23,NA,NA,NA,"Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.","species aggregated ranking, tolerance scale range from 0 (no tolerance) to 5 (maximal tolerance) Light range: 1, .50%; 2, 25–50%; 3, 10–25%; 4, 5–10%; 5, 2–5%."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,113.80552,NA,11.38055,mm2 mg-1,0.6753,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Betula nigra,603,Species tolerance to shade,Shade tolerance,1.45,0.1,NA,NA,NA,"Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.","species aggregated ranking, tolerance scale range from 0 (no tolerance) to 5 (maximal tolerance) Light range: 1, .50%; 2, 25–50%; 3, 10–25%; 4, 5–10%; 5, 2–5%."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,122.00772,NA,12.20077,mm2 mg-1,0.9051,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Carpinus caroliniana,603,Species tolerance to shade,Shade tolerance,4.58,0.21,NA,NA,NA,"Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.","species aggregated ranking, tolerance scale range from 0 (no tolerance) to 5 (maximal tolerance) Light range: 1, .50%; 2, 25–50%; 3, 10–25%; 4, 5–10%; 5, 2–5%."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,130.62606,NA,13.06261,mm2 mg-1,1.1305,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Carya cordiformis,603,Species tolerance to shade,Shade tolerance,2.07,0.07,NA,NA,NA,"Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.","species aggregated ranking, tolerance scale range from 0 (no tolerance) to 5 (maximal tolerance) Light range: 1, .50%; 2, 25–50%; 3, 10–25%; 4, 5–10%; 5, 2–5%."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,110.44199,NA,11.0442,mm2 mg-1,0.7307,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Diospyros virginiana,603,Species tolerance to shade,Shade tolerance,4.21,0.21,NA,NA,NA,"Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.","species aggregated ranking, tolerance scale range from 0 (no tolerance) to 5 (maximal tolerance) Light range: 1, .50%; 2, 25–50%; 3, 10–25%; 4, 5–10%; 5, 2–5%."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,123.74289,NA,12.37429,mm2 mg-1,0.9517,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
